asv,sample,counts,presence,local,type,species,taxa
ASV_99,FORAGERSDBP1,581,0,BP,FORAGER,SD,Lactobacillaceae
ASV_30,LARVAE1SBBP4,0,0,BP,LARVAE,SB,Klebsiella
ASV_93,FORAGERSBSC2,264,0,SC,FORAGER,SB,Lactobacillus
ASV_484,FOODSDBP2,0,0,BP,FOOD,SD,Bifidobacterium
ASV_86,FORAGERSBSC1,88,1,SC,FORAGER,SB,Acetobacteraceae
ASV_12,NURSESDBP2,1800,1,BP,NURSE,SD,Pectinatus
ASV_55,NURSESDBP1,263,1,BP,NURSE,SD,Bombilactobacillus
ASV_30,HONEYSDSC1,49,0,SC,HONEY,SD,Klebsiella
ASV_85,GUARDSBSC2,0,0,SC,GUARD,SB,Tyzzerella
ASV_96,LARVAESBBP2,0,0,BP,LARVAE,SB,Micrococcaceae
ASV_17,HONEYSDBP1,10,1,BP,HONEY,SD,Floricoccus
ASV_60,HONEYSBSC1,850,1,SC,HONEY,SB,Enterobacterales
ASV_83,GUARDSDSC1,295,1,SC,GUARD,SD,Corynebacterium
ASV_93,HONEYSDBP1,0,0,BP,HONEY,SD,Lactobacillus
ASV_55,FORAGERSBSC1,628,0,SC,FORAGER,SB,Bombilactobacillus
ASV_71,POLLENSDSC1,0,0,SC,POLLEN,SD,Weissella
ASV_30,NURSESBBP4,0,0,BP,NURSE,SB,Klebsiella
ASV_76,NURSESDBP1,0,0,BP,NURSE,SD,Sphingobacterium
ASV_76,FOODSBBP4,0,0,BP,FOOD,SB,Sphingobacterium
ASV_83,NURSESDSC1,29,1,SC,NURSE,SD,Corynebacterium
ASV_71,LARVAE2SBBP4,0,0,BP,LARVAE,SB,Weissella
ASV_543,FORAGERSDBG2,9,0,BG,FORAGER,SD,Taibaiella
ASV_86,GUARDSDSC1,0,0,SC,GUARD,SD,Acetobacteraceae
ASV_12,POLLENSDBG2,0,0,BG,POLLEN,SD,Pectinatus
ASV_96,POLLENSDBG1,0,0,BG,POLLEN,SD,Micrococcaceae
ASV_44,LARVAE1SDBP2,114,0,BP,LARVAE,SD,Erysipelatoclostridium
ASV_484,HONEYSDSC1,266,0,SC,HONEY,SD,Bifidobacterium
ASV_71,FORAGERSBSC1,0,0,SC,FORAGER,SB,Weissella
