bin_taxa,bin,length,cov,150,cov_meanok,sample,type,proportions,prop_final
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,438,65700,0.032985008,SBBP1_NURSE,NURSE,0.530627907,0.088920288
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,1634,245100,0.123053659,SBBP1_POLLEN,POLLEN,0.255785196,0.33172546
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,9584,1437600,0.72175414,SBBP2_FOOD,FOOD,2.847756868,1.945689599
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,124,18600,0.009338221,SBBP2_FORAGER,FORAGER,0.033934367,0.02517378
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,380,57000,0.02861713,SBBP2_GUARD,GUARD,0.105374844,0.077145456
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,23942,3591300,1.803029801,SBBP2_HONEY,HONEY,0.232168943,4.860569739
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,0,0,0,SBBP2_LARVAE,LARVAE,0,0
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,1126,168900,0.084797074,SBBP2_NURSE,NURSE,1.518067368,0.228594166
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,41460,6219000,3.12227949,SBBP4_POLLEN,POLLEN,26.72440767,8.416975248
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,19308,2896200,1.454051433,SDBP2_HONEY,HONEY,0.201900051,3.919801208
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,25444,3816600,1.916142772,SDBP3_FOOD,FOOD,5.242725276,5.165497304
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,526,78900,0.039612132,SDBP3_FORAGER,FORAGER,0.402590614,0.106785552
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,28,4200,0.002108631,SDBP3_GUARD,GUARD,0.01598957,0.005684402
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,4,600,0.000301233,SDBP3_LARVAE,LARVAE,0.067285125,0.000812057
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,1622,243300,0.12214996,SDBP3_NURSE,NURSE,2.33349425,0.329289287
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,81448,12217200,6.133705256,SDBP3_POLLEN,POLLEN,44.36250127,16.53511336
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,11098,1664700,0.83577081,SDBP4_FOOD,FOOD,5.434775574,2.253053336
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,890,133500,0.067024331,SDBP4_FORAGER,FORAGER,0.489001466,0.180682778
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,2160,324000,0.162665791,SDBP4_GUARD,GUARD,0.417378633,0.438511011
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,109892,16483800,8.275772738,SDBP4_HONEY,HONEY,1.449626561,22.30965374
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,208,31200,0.015664113,SDBP4_LARVAE,LARVAE,0.031569001,0.042226986
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,668,100200,0.050305902,SDBP4_NURSE,NURSE,0.750339114,0.135613591
Acinetobacter sp.,bins_SDBP4_POLLEN.13.fa,1991814,122976,18446400,9.261105706,SDBP4_POLLEN,POLLEN,40.25140611,24.96589359
